chrom,start,end,build_region_index,peak_k562:ctcf
chr6,70413000,70414000,1670062,True
chr4,25173000,25174000,1372412,True
chr17,47890000,47891000,786861,True
chr11,44656000,44657000,319623,False
chrX,48430000,48431000,2087452,False
chr3,43700000,43701000,1238571,True
chr16,2868000,2869000,693173,True
chr7,27723000,27724000,1767306,True
chr2,12833000,12834000,928572,False
chr8,137095000,137096000,1966341,False
chr18,75041000,75042000,868185,True
chr4,3675000,3676000,1357184,True
chr10,13731000,13732000,195452,False
chr6,109563000,109564000,1696708,False
chr3,168780000,168781000,1329435,False
chr17,74885000,74886000,809963,False
chr1,1116000,1117000,403,True
chr14,62500000,62501000,590960,False
chr1,246599000,246600000,182421,False
chr20,41340000,41341000,1129256,True
chrX,68161000,68162000,2094151,False
chr13,78478000,78479000,533017,False
chr16,68770000,68771000,732964,False
chr14,20287000,20288000,560190,True
chr8,106535000,106536000,1942679,False
chr18,401000,402000,818049,False
chr8,111788000,111789000,1946350,False
chr4,154779000,154780000,1458439,True
chr2,75677000,75678000,978511,True
chr1,228378000,228379000,166765,True
chr4,119213000,119214000,1433717,True
chr7,147190000,147191000,1855073,False
chr14,76547000,76548000,602970,True
chr5,16788000,16789000,1495528,False
chr7,122902000,122903000,1835875,True
chrX,118753000,118754000,2116741,True
chr1,244273000,244274000,180345,True
chrX,107101000,107102000,2110542,False
chr14,20225000,20226000,560150,True
chr9,132091000,132092000,2053682,True
chr7,131506000,131507000,1842677,True
chr1,38915000,38916000,33477,True
chr9,130171000,130172000,2051876,False
chr10,118551000,118552000,274472,False
chr16,16096000,16097000,703819,True
chr11,83016000,83017000,346069,False
chr4,15734000,15735000,1366113,False
chr6,163277000,163278000,1739265,False
chr12,5029000,5030000,389585,False
chr19,17499000,17500000,887575,True
chr12,103575000,103576000,463652,True
chr7,100248000,100249000,1818327,False
chr20,40741000,40742000,1128721,True
chrX,25739000,25740000,2075345,False
chr3,19270000,19271000,1220179,False
chr6,29855000,29856000,1641325,False
chr8,100676000,100677000,1937836,True
chrX,30779000,30780000,2077492,True
chr12,117706000,117707000,476157,False
chr9,120883000,120884000,2043468,False
chr19,13103000,13104000,883715,False
chr20,17391000,17392000,1112296,False
chr12,25241000,25242000,405193,True
chr2,174332000,174333000,1045191,True
chr6,168714000,168715000,1743627,True
chr10,120709000,120710000,276363,False
chr20,46582000,46583000,1133679,True
chr17,45200000,45201000,784771,True
chr21,33257000,33258000,1163807,False
chr1,180424000,180425000,127261,False
chr16,48628000,48629000,718084,False
chr21,22281000,22282000,1155815,False
chr9,76636000,76637000,2008324,False
chr8,26267000,26268000,1883829,True
chr2,142753000,142754000,1021214,False
chr20,31454000,31455000,1120475,True
chr3,184832000,184833000,1342660,True
chrX,54257000,54258000,2090427,False
chr7,111090000,111091000,1826992,True
chrX,70879000,70880000,2095873,False
chrX,7647000,7648000,2063792,False
chr20,3716000,3717000,1101768,True
chrX,21227000,21228000,2072680,False
chr4,168550000,168551000,1467132,False
chr8,133496000,133497000,1963630,True
chr1,193395000,193396000,137419,True
chr10,103982000,103983000,263562,True
chr7,64639000,64640000,1791360,True
chr12,49631000,49632000,421873,True
chr20,17694000,17695000,1112570,False
chr14,105910000,105911000,626146,False
chr22,50696000,50697000,1205256,True
chr22,22110000,22111000,1180301,True
chr2,65326000,65327000,969797,False
chr2,26244000,26245000,938747,True
chr11,45105000,45106000,320046,True
chr1,34021000,34022000,29304,False
chr8,80030000,80031000,1922237,True
chr1,1974000,1975000,1192,True
chr18,78674000,78675000,870945,False
chr2,126683000,126684000,1009916,True
chr16,13994000,13995000,702189,False
chr5,56058000,56059000,1520978,False
chr5,119812000,119813000,1567452,False
chr11,62841000,62842000,329063,True
chr6,106175000,106176000,1693674,False
chr4,125844000,125845000,1438453,False
chr10,121361000,121362000,276918,False
chrX,24988000,24989000,2075008,False
chr8,58533000,58534000,1906335,True
chr8,102651000,102652000,1939625,True
chr16,73047000,73048000,736468,False
chr12,31403000,31404000,410331,True
chr1,220398000,220399000,159813,False
chr12,72485000,72486000,440591,False
chr3,13121000,13122000,1214987,True
chr6,140441000,140442000,1720655,True
chr10,99520000,99521000,259491,False
chr4,138835000,138836000,1446215,True
chr19,53593000,53594000,914250,True
chr10,100416000,100417000,260296,False
chr17,28023000,28024000,770107,False
chr21,44745000,44746000,1173626,False
chr1,55143000,55144000,47400,True
chr3,176664000,176665000,1335844,True
chr8,63264000,63265000,1909892,False
chr8,10825000,10826000,1872257,True
chr6,104956000,104957000,1692592,True
chr15,83449000,83450000,675788,False
chr14,37231000,37232000,573062,False
chr20,31788000,31789000,1120776,True
chr8,29721000,29722000,1886854,False
chr3,4413000,4414000,1208014,False
chr9,90964000,90965000,2019802,True
chr9,72965000,72966000,2005776,False
chr14,65102000,65103000,593087,True
chr6,88710000,88711000,1682664,False
chr9,78297000,78298000,2009759,True
chr1,54212000,54213000,46553,True
chr15,33110000,33111000,633961,False
chrX,110837000,110838000,2112817,True
chr10,107304000,107305000,265789,False
chr9,71769000,71770000,2004776,True
chr13,83636000,83637000,536483,False
chr3,4584000,4585000,1208172,True
chr3,37322000,37323000,1233277,False
chr16,50464000,50465000,719579,True
chrX,3119000,3120000,2061597,False
chr13,94988000,94989000,544236,True
chr2,101796000,101797000,992967,False
chr1,175961000,175962000,123618,False
chr1,221844000,221845000,161034,False
chr18,37335000,37336000,841939,True
chr5,55281000,55282000,1520280,False
chr10,68287000,68288000,233882,False
chrX,84469000,84470000,2101817,False
chr11,66439000,66440000,332225,True
chr6,38934000,38935000,1649541,False
chrX,1323000,1324000,2060265,True
chr18,8982000,8983000,824518,True
chr3,12501000,12502000,1214404,False
chr10,75363000,75364000,240323,True
chr12,94269000,94270000,456363,False
chr7,128940000,128941000,1840299,True
chr1,154778000,154779000,105935,True
chr4,71360000,71361000,1400027,False
chr7,148952000,148953000,1856476,False
chr22,32437000,32438000,1189333,True
chr1,246687000,246688000,182501,True
chr1,48115000,48116000,41709,False
chr3,72993000,72994000,1262587,True
chr7,141189000,141190000,1850974,True
chr3,75659000,75660000,1264348,True
chr17,76234000,76235000,811207,True
chr2,133942000,133943000,1015117,False
chr10,847000,848000,184718,True
chr12,60989000,60990000,431243,False
chr3,63818000,63819000,1255317,True
chrX,47112000,47113000,2086631,True
chr6,65877000,65878000,1667442,False
chr5,129868000,129869000,1575008,False
chr19,1185000,1186000,873229,True
chr12,116817000,116818000,475368,True
chr2,179896000,179897000,1049673,False
chr22,30263000,30264000,1187447,True
chr4,76691000,76692000,1403992,False
chr11,594000,595000,287626,True
chr18,3861000,3862000,820744,False
chr18,77335000,77336000,870010,False
chr13,111047000,111048000,556848,True
chr8,27564000,27565000,1884896,False
chr2,56411000,56412000,962776,False
chr15,55215000,55216000,650903,False
chr9,90632000,90633000,2019521,False
chr8,70190000,70191000,1915135,False
chr7,150313000,150314000,1857591,False
chr11,21063000,21064000,304064,False
chr17,29283000,29284000,771273,True
chr1,242781000,242782000,179133,False
chr8,98903000,98904000,1936284,False
chr5,71920000,71921000,1532206,False
chr2,129662000,129663000,1012361,True
chr10,22034000,22035000,202170,False
chr15,29821000,29822000,631943,True
chr1,227886000,227887000,166313,True
chr10,35605000,35606000,213647,False
chr1,215794000,215795000,156188,False
chr1,26151000,26152000,22203,False
chr19,18438000,18439000,888436,True
chr3,169315000,169316000,1329885,False
chr4,71298000,71299000,1399986,True
chr15,44550000,44551000,643091,True
chr20,541000,542000,1098977,True
chr7,21767000,21768000,1762086,True
chr19,17261000,17262000,887362,True
chr2,232531000,232532000,1090073,False
chr16,50821000,50822000,719898,True
chr14,37201000,37202000,573033,False
chr12,18805000,18806000,400319,True
chr12,85522000,85523000,449653,False
chr8,22587000,22588000,1880858,True
chr8,55866000,55867000,1904276,False
chr1,39544000,39545000,34059,False
chr16,6249000,6250000,695999,False
chr15,40299000,40300000,639440,False
chr4,54999000,55000000,1390473,True
chr9,7260000,7261000,1978645,True
chr4,154637000,154638000,1458348,True
chr5,74212000,74213000,1534254,True
chr4,66991000,66992000,1397208,False
chr8,28943000,28944000,1886142,True
chr10,102489000,102490000,262172,False
chr5,79021000,79022000,1538325,True
chr14,67876000,67877000,595332,False
chr12,54473000,54474000,426311,True
chr7,22134000,22135000,1762398,True
chr9,136950000,136951000,2058197,True
chr6,15189000,15190000,1629169,False
chr14,54583000,54584000,584484,False
chr11,29800000,29801000,309326,False
chr13,73106000,73107000,528743,False
chr8,135642000,135643000,1965401,False
chr4,94304000,94305000,1416732,True
chr11,107799000,107800000,363119,True
chr12,72171000,72172000,440379,False
chr11,14191000,14192000,298645,True
chr4,177459000,177460000,1473248,False
chr9,97633000,97634000,2025593,True
chr4,108473000,108474000,1426447,True
chr10,83840000,83841000,246758,False
chr4,36164000,36165000,1378876,False
chr9,13819000,13820000,1982255,False
chr5,142458000,142459000,1585641,False
chr4,15471000,15472000,1365881,False
chr17,69111000,69112000,805028,False
chr7,142528000,142529000,1852098,True
chr5,28779000,28780000,1503346,True
chr1,113073000,113074000,92139,True
chr15,66387000,66388000,660660,True
chr8,83825000,83826000,1924949,True
