chrom,start,end,build_region_index,peak_k562:ctcf
chr20,7182000,7183000,1104614,False
chr5,94356000,94357000,1549461,False
chr6,132660000,132661000,1713920,False
chr7,148150000,148151000,1855742,False
chr7,83421000,83422000,1805667,False
chr3,114125000,114126000,1287221,False
chr9,90861000,90862000,2019709,False
chr7,100725000,100726000,1818744,True
chr1,112845000,112846000,91923,True
chr18,25702000,25703000,833490,False
chr8,140867000,140868000,1969241,False
chr10,83840000,83841000,246758,False
chr7,150177000,150178000,1857497,False
chr3,89315000,89316000,1272312,False
chr2,79781000,79782000,980804,False
chr10,6313000,6314000,189390,False
chr7,52281000,52282000,1787319,False
chr21,27712000,27713000,1159373,False
chr16,85908000,85909000,747183,False
chr10,42733000,42734000,215956,False
chr2,106407000,106408000,996362,False
chr1,4017000,4018000,2990,True
chr10,45697000,45698000,218380,False
chr1,114392000,114393000,93280,False
chr1,33438000,33439000,28832,False
chr20,41617000,41618000,1129516,False
chr3,89367000,89368000,1272342,False
chr10,87660000,87661000,249614,False
chr20,36831000,36832000,1125415,True
chr1,204803000,204804000,146778,False
chr13,27865000,27866000,496337,False
chr2,139371000,139372000,1019150,False
chr4,148047000,148048000,1453254,False
chr1,150205000,150206000,101960,False
chr7,35609000,35610000,1773811,False
chr6,132875000,132876000,1714108,False
chr2,81088000,81089000,981611,False
chr19,28420000,28421000,892953,False
chr15,34496000,34497000,635056,False
chr1,39792000,39793000,34276,False
chr14,100687000,100688000,621430,False
chr9,71508000,71509000,2004563,False
chr18,2639000,2640000,819636,False
chr16,73200000,73201000,736611,False
chr4,164226000,164227000,1464406,False
chr2,31570000,31571000,943499,False
chr9,71985000,71986000,2004965,True
chr19,51266000,51267000,912462,False
chr2,884000,885000,918901,False
chr9,95770000,95771000,2024018,False
chr1,116150000,116151000,94797,False
chr1,105331000,105332000,86087,False
chr17,12751000,12752000,761610,False
chrX,9437000,9438000,2064772,False
chr8,80407000,80408000,1922589,False
chr5,163023000,163024000,1601155,False
chr2,121175000,121176000,1006468,False
chr4,72875000,72876000,1400957,False
chr9,68392000,68393000,2002124,False
chr4,748000,749000,1354513,False
chr12,115616000,115617000,474278,False
chr2,51533000,51534000,959121,False
chr13,44813000,44814000,509896,False
chr14,41434000,41435000,575703,False
chr1,52592000,52593000,45070,False
chr10,129614000,129615000,283898,False
chr8,5487000,5488000,1868667,False
chr14,25407000,25408000,564317,False
chr3,5645000,5646000,1209078,False
chr9,115765000,115766000,2039918,False
chr15,38419000,38420000,637825,False
chr10,55641000,55642000,224955,False
chr21,28203000,28204000,1159696,False
chr6,25802000,25803000,1638113,False
chr19,9954000,9955000,880984,False
chr2,70920000,70921000,974500,True
chr14,31556000,31557000,568240,False
chr10,21909000,21910000,202051,False
chr5,175583000,175584000,1611021,False
chr7,74188000,74189000,1798784,False
chr22,44792000,44793000,1200157,False
chr9,15043000,15044000,1983226,False
chr10,113939000,113940000,270735,True
chr2,120115000,120116000,1005501,False
chr1,214542000,214543000,155225,False
chr7,115287000,115288000,1830202,False
chrX,153052000,153053000,2133639,True
chr16,63683000,63684000,728980,False
chr8,79458000,79459000,1921765,False
chr12,104396000,104397000,464390,False
chr9,117654000,117655000,2041372,False
chr7,123975000,123976000,1836721,False
chr1,117514000,117515000,96037,False
chr11,98302000,98303000,356577,False
chr8,100763000,100764000,1937920,False
chr6,163763000,163764000,1739702,False
chr1,193803000,193804000,137733,False
chr18,30551000,30552000,836680,False
chr7,99606000,99607000,1817763,False
chr14,97781000,97782000,618974,False
chr6,27738000,27739000,1639630,False
chr18,22932000,22933000,831115,False
chr10,121407000,121408000,276960,False
chr10,92746000,92747000,253856,False
chr8,86676000,86677000,1926836,False
chr1,55143000,55144000,47400,True
chr9,123431000,123432000,2045707,False
chr13,69126000,69127000,526080,False
chr3,67620000,67621000,1258484,False
chr2,239242000,239243000,1096004,False
chr3,3006000,3007000,1207068,False
chr20,6659000,6660000,1104255,False
chr1,57929000,57930000,49773,False
chr11,38710000,38711000,316112,False
chr16,2984000,2985000,693281,False
chr6,128738000,128739000,1710778,False
chr10,97732000,97733000,258096,False
chr11,111185000,111186000,365806,False
chrX,15736000,15737000,2068922,False
chr2,61824000,61825000,966715,False
chr17,27649000,27650000,769774,False
chr13,85545000,85546000,537754,False
chr7,23253000,23254000,1763391,False
chr5,153202000,153203000,1594029,False
chr10,19907000,19908000,200469,False
chr5,14554000,14555000,1493670,False
chr14,28768000,28769000,566109,True
chr6,142808000,142809000,1722397,False
chr18,54690000,54691000,853879,False
chr6,20421000,20422000,1633580,False
chr4,56512000,56513000,1391709,False
chr11,24415000,24416000,305937,False
chr17,38669000,38670000,778895,False
chr16,75856000,75857000,738833,False
chr1,24896000,24897000,21040,False
chr17,17294000,17295000,765261,False
chr2,15414000,15415000,930206,False
chr14,42586000,42587000,576315,False
chr3,19761000,19762000,1220437,False
chr10,78040000,78041000,242603,False
chr16,25352000,25353000,710573,False
chr1,67608000,67609000,58078,False
chr17,64787000,64788000,801137,False
chr18,23988000,23989000,832084,False
chr5,78686000,78687000,1538032,False
