chrom,start,end,build_region_index,peak_h1:ezh2
chr2,170120000,170121000,1041446,False
chr9,90186000,90187000,2019180,False
chr4,47985000,47986000,1386866,False
chr2,158132000,158133000,1032403,False
chr16,86217000,86218000,747466,False
chr22,48858000,48859000,1203623,False
chr17,10556000,10557000,760005,False
chr6,107957000,107958000,1695258,True
chr14,92793000,92794000,614746,True
chr11,86437000,86438000,348572,False
chr7,51886000,51887000,1787053,False
chr2,17042000,17043000,931530,False
chr15,51516000,51517000,648385,False
chr9,96536000,96537000,2024689,False
chr9,112346000,112347000,2036943,False
chr7,127649000,127650000,1839112,False
chr1,230565000,230566000,168715,False
chr19,16597000,16598000,886764,False
chr12,65063000,65064000,434314,False
chr8,127792000,127793000,1958946,False
chr11,31180000,31181000,310176,False
chr11,46390000,46391000,321194,True
chr13,35482000,35483000,502545,False
chr16,21156000,21157000,707192,False
chr3,113254000,113255000,1286472,False
chr1,35260000,35261000,30259,False
chrX,57645000,57646000,2091841,False
chr1,39204000,39205000,33743,False
chr7,141072000,141073000,1850870,True
chr3,136555000,136556000,1305048,False
chr8,12619000,12620000,1873505,False
chr15,74246000,74247000,667806,False
chr1,31481000,31482000,27011,False
chr10,119299000,119300000,275137,False
chr1,51503000,51504000,44080,False
chr19,57620000,57621000,917377,False
chr2,10255000,10256000,926277,False
chr8,125931000,125932000,1957358,False
chr12,76176000,76177000,442991,False
chr5,165538000,165539000,1602766,False
chr14,88341000,88342000,610804,False
chr11,4752000,4753000,291005,False
chr5,90662000,90663000,1546765,False
chr1,161759000,161760000,111852,False
chrX,109709000,109710000,2112043,False
chr4,165787000,165788000,1465502,False
chr13,91399000,91400000,541541,True
chr20,15062000,15063000,1110600,False
chr6,104191000,104192000,1692051,False
chr4,110455000,110456000,1428041,False
chr4,90401000,90402000,1414526,False
chr12,130751000,130752000,486866,False
chr11,74806000,74807000,339645,False
chr11,9257000,9258000,294348,False
chr17,52288000,52289000,790784,False
chrX,36768000,36769000,2079957,False
chr5,143268000,143269000,1586405,False
chr7,36153000,36154000,1774285,False
chr1,213229000,213230000,154113,False
chr19,21350000,21351000,890687,False
chr1,62192000,62193000,53359,False
